Player,FG,FGA,XPT,FPTS,Team,Week,Year,Position
Brandon McManus,1.5,1.7,1.8,6.2,GB,18,2021,k
Chase McLaughlin,1.4,1.6,1.9,6.2,TB,18,2021,k
Matthew Wright,1.5,1.8,1.2,5.8,CAR,18,2021,k
Graham Gano,1.5,1.7,1.3,5.7,NYG,18,2021,k
Evan McPherson,2.0,2.4,2.5,8.5,CIN,1,2022,k
Harrison Butker,1.8,2.2,2.8,8.4,KC,1,2022,k
Dustin Hopkins,1.8,2.3,2.7,8.1,CLE,1,2022,k
Brandon McManus,1.8,2.2,2.5,7.8,GB,1,2022,k
Jake Elliott,1.8,2.2,2.3,7.7,PHI,1,2022,k
Daniel Carlson,1.9,2.2,2.1,7.7,LV,1,2022,k
Matt Gay,1.8,2.2,2.3,7.7,WAS,1,2022,k
Tyler Bass,1.7,2.2,2.5,7.6,BUF,1,2022,k
Jason Sanders,1.7,2.1,2.3,7.5,MIA,1,2022,k
Joey Slye,1.7,2.1,2.2,7.4,TEN,1,2022,k
Wil Lutz,1.7,2.1,2.3,7.4,DEN,1,2022,k
Nick Folk,1.7,2.1,2.0,7.3,NYJ,1,2022,k
Younghoe Koo,1.8,2.1,1.9,7.1,ATL,1,2022,k
Chris Boswell,1.7,2.0,1.8,6.9,PIT,1,2022,k
Graham Gano,1.7,2.0,1.7,6.7,NYG,1,2022,k
Ka'imi Fairbairn,1.6,1.9,1.8,6.6,HOU,1,2022,k
Jason Myers,1.5,1.8,1.8,6.4,SEA,1,2022,k
Cairo Santos,1.5,1.8,1.6,6.2,CHI,1,2022,k
Tyler Bass,2.0,2.4,2.9,9.0,BUF,2,2022,k
Matt Gay,1.9,2.2,2.9,8.7,WAS,2,2022,k
Daniel Carlson,2.0,2.3,2.4,8.3,LV,2,2022,k
Evan McPherson,2.0,2.3,2.3,8.2,CIN,2,2022,k
Chase McLaughlin,1.7,2.0,2.5,7.5,TB,2,2022,k
Chris Boswell,1.8,2.1,2.1,7.5,PIT,2,2022,k
Joey Slye,1.7,2.0,2.2,7.5,TEN,2,2022,k
Brandon McManus,1.5,1.8,2.9,7.5,GB,2,2022,k
Jake Elliott,1.7,2.0,2.2,7.4,PHI,2,2022,k
Graham Gano,1.8,2.1,1.9,7.3,NYG,2,2022,k
Nick Folk,1.6,1.9,2.2,7.1,NYJ,2,2022,k
Wil Lutz,1.7,2.0,2.0,7.0,DEN,2,2022,k
Jason Sanders,1.6,1.9,2.0,6.8,MIA,2,2022,k
Dustin Hopkins,1.5,1.7,2.4,6.8,CLE,2,2022,k
Younghoe Koo,1.6,1.8,2.0,6.7,ATL,2,2022,k
Jason Myers,1.5,1.7,2.0,6.5,SEA,2,2022,k
Ka'imi Fairbairn,1.6,1.8,1.8,6.5,HOU,2,2022,k
Cairo Santos,1.6,1.8,1.7,6.5,CHI,2,2022,k
Tyler Bass,2.0,2.4,2.8,8.7,BUF,3,2022,k
Evan McPherson,1.9,2.2,2.5,8.3,CIN,3,2022,k
Matt Gay,1.8,2.2,2.7,8.2,WAS,3,2022,k
Dustin Hopkins,1.8,2.1,2.7,8.0,CLE,3,2022,k
Daniel Carlson,1.9,2.2,2.4,8.0,LV,3,2022,k
Chase McLaughlin,1.9,2.3,1.9,7.7,TB,3,2022,k
Jake Elliott,1.8,2.1,2.3,7.6,PHI,3,2022,k
Younghoe Koo,1.8,2.1,2.1,7.6,ATL,3,2022,k
Jason Sanders,1.8,2.2,2.2,7.5,MIA,3,2022,k
Cairo Santos,1.7,2.0,2.2,7.3,CHI,3,2022,k
Jason Myers,1.7,2.0,2.2,7.3,SEA,3,2022,k
Nick Folk,1.7,2.0,2.2,7.2,NYJ,3,2022,k
Brandon McManus,1.7,2.0,1.9,7.1,GB,3,2022,k
Wil Lutz,1.6,1.9,2.2,7.0,DEN,3,2022,k
Graham Gano,1.7,2.0,1.8,6.9,NYG,3,2022,k
Joey Slye,1.6,1.8,2.2,6.8,TEN,3,2022,k
Ka'imi Fairbairn,1.6,1.9,1.8,6.6,HOU,3,2022,k
Chris Boswell,1.5,1.7,1.8,6.2,PIT,3,2022,k
Tyler Bass,1.8,2.2,2.8,8.2,BUF,4,2022,k
Evan McPherson,1.9,2.3,2.5,8.1,CIN,4,2022,k
Chase McLaughlin,2.0,2.4,2.1,8.1,TB,4,2022,k
Younghoe Koo,1.9,2.2,2.3,8.0,ATL,4,2022,k
Daniel Carlson,1.9,2.2,2.2,7.9,LV,4,2022,k
Dustin Hopkins,1.8,2.1,2.5,7.7,CLE,4,2022,k
Jake Elliott,1.8,2.1,2.3,7.6,PHI,4,2022,k
Matt Gay,1.7,1.9,2.3,7.3,WAS,4,2022,k
Brandon McManus,1.7,2.0,2.2,7.3,GB,4,2022,k
Jason Sanders,1.7,2.0,2.2,7.3,MIA,4,2022,k
Chris Boswell,1.7,2.0,2.3,7.3,PIT,4,2022,k
Jason Myers,1.6,1.9,2.3,7.1,SEA,4,2022,k
Ka'imi Fairbairn,1.7,2.0,1.9,7.0,HOU,4,2022,k
Graham Gano,1.7,1.9,1.8,6.9,NYG,4,2022,k
Matthew Wright,1.5,1.8,2.1,6.6,CAR,4,2022,k
Joey Slye,1.5,1.8,2.0,6.6,TEN,4,2022,k
Wil Lutz,1.5,1.7,2.1,6.5,DEN,4,2022,k
Nick Folk,1.5,1.8,1.7,6.4,NYJ,4,2022,k
Tyler Bass,1.9,2.4,2.9,8.7,BUF,5,2022,k
Wil Lutz,1.7,2.0,2.6,7.7,DEN,5,2022,k
Matthew Wright,1.5,1.7,3.2,7.6,CAR,5,2022,k
Daniel Carlson,1.8,2.0,2.1,7.4,LV,5,2022,k
Nick Folk,1.6,1.8,2.5,7.3,NYJ,5,2022,k
Jason Sanders,1.7,2.0,2.3,7.2,MIA,5,2022,k
Matt Gay,1.6,1.8,2.2,7.1,WAS,5,2022,k
Graham Gano,1.7,2.0,1.7,6.9,NYG,5,2022,k
Cameron Dicker,1.4,1.7,2.6,6.8,LAC,5,2022,k
Jason Myers,1.6,1.8,2.1,6.8,SEA,5,2022,k
