Player,FG_proj,FGA_proj,XPT_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Rank,FG_actual,FGA_actual,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT_actual,XPA,G,FPTS_actual,FPTS/G,ROST,Team_actual,Position_actual
Matt Gay,1.9,2.2,3.3,9.0,WAS,7,2021,K,8.0,2.0,2.0,100.0,47.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,15.8%,WAS,K
Nick Folk,2.0,2.3,2.4,8.2,NYJ,7,2021,K,3.0,2.0,2.0,100.0,50.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0,1.0,14.0,14.0,0.9%,NYJ,K
Harrison Butker,1.6,1.8,3.3,8.1,KC,7,2021,K,21.0,1.0,2.0,50.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,72.1%,KC,K
Jason Sanders,1.8,2.1,2.3,7.6,MIA,7,2021,K,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,42.0%,MIA,K
Daniel Carlson,1.7,2.0,2.4,7.5,LV,7,2021,K,7.0,2.0,2.0,100.0,39.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,9.0,9.0,12.8%,LV,K
Younghoe Koo,1.6,1.9,2.6,7.4,ATL,7,2021,K,5.0,3.0,3.0,100.0,36.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,12.0,12.0,22.8%,ATL,K
Wil Lutz,1.7,2.0,2.1,7.3,DEN,7,2021,K,,,,,,,,,,,,,,,,,,
Joey Slye,1.6,1.9,2.3,7.0,TEN,7,2021,K,9.0,2.0,2.0,100.0,56.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,8.0,0.8%,TEN,K
Graham Gano,1.6,1.9,2.1,7.0,NYG,7,2021,K,2.0,3.0,3.0,100.0,53.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,15.0,15.0,1.0%,NYG,K
Brandon McManus,1.6,1.8,2.2,7.0,GB,7,2021,K,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,5.2%,GB,K
Jake Elliott,1.6,1.9,2.0,6.9,PHI,7,2021,K,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,60.5%,PHI,K
