Player,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Mike Evans,4.8,68.5,0.7,0.0,0.0,0.0,0.0,15.6,TB,3,2021,wr
Sterling Shepard,6.0,64.8,0.4,0.5,2.7,0.0,0.1,15.3,TB,3,2021,wr
Ja'Marr Chase,5.0,69.4,0.5,0.2,1.1,0.0,0.1,15.1,CIN,3,2021,wr
Robert Woods,5.6,65.2,0.4,1.3,6.5,0.1,0.1,15.1,PIT,3,2021,wr
Courtland Sutton,4.9,71.7,0.5,0.2,0.9,0.0,0.0,15.1,DEN,3,2021,wr
JuJu Smith-Schuster,5.8,62.6,0.4,0.3,1.3,0.0,0.1,14.6,KC,3,2021,wr
DeVonta Smith,4.4,61.9,0.5,0.2,1.0,0.0,0.0,13.9,PHI,3,2021,wr
Michael Pittman Jr.,4.8,60.9,0.4,0.2,1.1,0.0,0.0,13.4,IND,3,2021,wr
Robbie Chosen,4.5,58.4,0.5,0.2,1.4,0.0,0.0,13.2,SF,3,2021,wr
Jakobi Meyers,5.0,60.5,0.4,0.1,0.4,0.0,0.0,13.2,LV,3,2021,wr
Rondale Moore,3.9,52.7,0.5,0.6,3.6,0.0,0.1,12.4,MIN,3,2021,wr
Laviska Shenault Jr.,4.6,49.1,0.3,1.2,5.7,0.0,0.1,11.8,BUF,3,2021,wr
DJ Chark Jr.,4.2,56.7,0.3,0.0,0.3,0.0,0.0,11.6,ATL,3,2021,wr
Jaylen Waddle,4.2,54.6,0.3,0.2,1.5,0.0,0.1,11.5,MIA,3,2021,wr
Darnell Mooney,4.4,51.5,0.2,0.2,0.9,0.0,0.0,11.0,ATL,3,2021,wr
Zach Pascal,3.6,46.5,0.4,0.0,0.1,0.0,0.0,10.4,NYG,3,2021,wr
Christian Kirk,3.6,44.7,0.4,0.2,1.6,0.0,0.0,10.3,HOU,3,2021,wr
Tim Patrick,3.8,47.9,0.3,0.0,0.0,0.0,0.0,10.3,DET,3,2021,wr
Mecole Hardman Jr.,3.4,46.4,0.3,0.4,2.4,0.0,0.0,10.0,GB,3,2021,wr
Hunter Renfrow,3.9,46.2,0.2,0.0,0.0,0.0,0.0,9.8,CAR,3,2021,wr
Quintez Cephus,3.4,47.7,0.2,0.0,0.0,0.0,0.0,9.6,HOU,3,2021,wr
Marquez Callaway,3.6,46.7,0.2,0.1,0.6,0.0,0.0,9.6,LV,3,2021,wr
Jalen Reagor,3.5,44.9,0.3,0.1,0.5,0.0,0.0,9.6,LAC,3,2021,wr
K.J. Osborn,3.5,45.5,0.2,0.0,0.1,0.0,0.0,9.3,WAS,3,2021,wr
Elijah Moore,3.6,44.2,0.2,0.0,0.3,0.0,0.0,9.1,BUF,3,2021,wr
Van Jefferson,3.2,41.9,0.3,0.0,0.2,0.0,0.0,9.1,TEN,3,2021,wr
Darius Slayton,3.0,44.0,0.3,0.1,0.3,0.0,0.0,9.0,NYG,3,2021,wr
