Player,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Allen Lazard,2.3,30.4,0.1,0.1,0.8,0.0,0.0,6.2,NYJ,1,2021,WR,94.0,2.0,4.0,16.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,3.6,2.6%,NYJ,WR
Quintez Cephus,2.4,31.5,0.1,0.0,0.0,0.0,0.0,6.2,HOU,1,2021,WR,47.0,3.0,6.0,12.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.2,12.2,0.0%,HOU,WR
KJ Hamler,2.1,26.3,0.1,0.7,3.4,0.0,0.0,5.6,BUF,1,2021,WR,72.0,3.0,4.0,41.0,13.7,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.1,7.1,0.0%,BUF,WR
Donovan Peoples-Jones,2.0,28.5,0.1,0.0,0.1,0.0,0.0,5.5,NO,1,2021,WR,117.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,0.0%,NO,WR
Demarcus Robinson,2.0,24.7,0.1,0.0,0.0,0.0,0.0,5.3,SF,1,2021,WR,108.0,1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,1.9,2.8%,SF,WR
Tim Patrick,2.0,25.9,0.1,0.0,0.0,0.0,0.0,5.3,DET,1,2021,WR,38.0,4.0,4.0,39.0,9.8,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.9,13.9,1.8%,DET,WR
Quez Watkins,1.9,25.3,0.1,0.0,0.1,0.0,0.0,5.1,ARI,1,2021,WR,81.0,3.0,3.0,23.0,7.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,0.0%,ARI,WR
Dyami Brown,1.8,26.4,0.1,0.0,0.1,0.0,0.0,5.1,JAC,1,2021,WR,118.0,1.0,4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,7.6%,JAC,WR
Dee Eskridge,2.0,23.2,0.1,0.1,0.4,0.0,0.0,5.0,MIA,1,2021,WR,93.0,1.0,1.0,6.0,6.0,6.0,0.0,0.0,2.0,22.0,0.0,0.0,1.0,3.8,3.8,0.0%,MIA,WR
Lil'Jordan Humphrey,1.8,23.4,0.1,0.1,0.9,0.0,0.0,4.8,NYG,1,2021,WR,,,,,,,,,,,,,,,,,,
Van Jefferson,1.8,21.6,0.1,0.1,0.2,0.0,0.0,4.8,TEN,1,2021,WR,28.0,2.0,3.0,80.0,40.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,1.1%,TEN,WR
Olamide Zaccheaus,1.7,23.6,0.1,0.0,0.1,0.0,0.0,4.7,CHI,1,2021,WR,,,,,,,,,,,,,,,,,,
Kalif Raymond,1.6,20.1,0.1,0.0,0.0,0.0,0.0,3.9,DET,1,2021,WR,66.0,3.0,4.0,50.0,16.7,25.0,2.0,0.0,1.0,9.0,0.0,0.0,1.0,8.9,8.9,0.9%,DET,WR
Joshua Palmer,1.4,16.5,0.1,0.0,0.3,0.0,0.0,3.6,BUF,1,2021,WR,103.0,1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,16.9%,BUF,WR
Scotty Miller,1.2,16.4,0.1,0.2,1.1,0.0,0.0,3.4,PIT,1,2021,WR,,,,,,,,,,,,,,,,,,
Braxton Berrios,1.3,13.8,0.1,0.1,0.7,0.0,0.0,3.4,HOU,1,2021,WR,60.0,5.0,7.0,51.0,10.2,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.1,10.1,0.6%,HOU,WR
Juwan Johnson,1.2,15.2,0.1,0.0,0.0,0.0,0.0,3.3,NO,1,2021,WR,,,,,,,,,,,,,,,,,,
Devin Duvernay,1.2,16.2,0.1,0.1,0.8,0.0,0.0,3.3,CHI,1,2021,WR,114.0,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,0.6%,CHI,WR
Ihmir Smith-Marsette,1.0,12.0,0.1,0.0,0.1,0.0,0.0,2.7,NYG,1,2021,WR,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,NYG,WR
Tylan Wallace,1.0,11.5,0.1,0.0,0.2,0.0,0.0,2.6,BAL,1,2021,WR,,,,,,,,,,,,,,,,,,
